,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila,Aaptosyax-grypus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=60334,60334,Valid,Aaptosyax grypus
fila.1,Abramis-brama,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3030,3030,Valid,Abramis brama
fila.2,Acanthodoras-cataphractus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5639,5639,Valid,Acanthodoras cataphractus
fila.3,Acanthogobius-flavimanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20255,20255,Valid,Acanthogobius flavimanus
fila.4,Acanthogobius-hasta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20543,20543,Valid,Acanthogobius hasta
fila.5,Acanthogobius-lactipes,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18604,18604,Valid,Acanthogobius lactipes
fila.6,Acanthogobius-luridus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=57094,57094,Valid,Acanthogobius luridus
fila.7,Acanthopagrus-berda,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=37221,37221,Valid,Acanthopagrus berda
fila.8,Acantopsis-dialuzona,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3097,3097,Valid,Acantopsis dialuzona
fila.9,Acarichthys-heckelii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21290,21290,Valid,Acarichthys heckelii
fila.10,Acentrogobius-caninus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=43443,43443,Valid,Acentrogobius caninus
fila.11,Acentrogobius-cyanomos,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=43466,43466,Valid,Aulopareia cyanomos
fila.12,Acentrogobius-griseus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=47735,47735,Valid,Acentrogobius griseus
fila.13,Acentrogobius-janthinopterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18609,18609,Valid,Acentrogobius janthinopterus
fila.14,Acentrogobius-madraspatensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49040,49040,Valid,Acentrogobius madraspatensis
fila.15,Acentrogobius-masoni,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=43653,43653,Synonym,Aulopareia unicolor
fila.16,Acentrogobius-nebulosus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=43656,43656,Valid,Yongeichthys nebulosus
fila.17,Acentrogobius-simplex,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56331,56331,Valid,Acentrogobius simplex
fila.18,Acentrogobius-viridipunctatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18617,18617,Valid,Acentrogobius viridipunctatus
fila.19,Acestrorhynchus-abbreviatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4304,4304,Valid,Acestrorhynchus abbreviatus
fila.20,Acestrorhynchus-falcatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=67707,67707,Valid,Acestrorhynchus falcatus
fila.21,Acestrorhynchus-falcirostris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=67712,67712,Valid,Acestrorhynchus falcirostris
fila.22,Acestrorhynchus-heterolepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=67713,67713,Valid,Acestrorhynchus heterolepis
fila.23,Acestrorhynchus-microlepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=67714,67714,Valid,Acestrorhynchus microlepis
fila.24,Acheilognathus-asmussii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1339,1339,Valid,Acheilognathus asmussii
fila.25,Achiroides-leucorhynchos,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=48602,48602,Valid,Achiroides leucorhynchos
fila.26,Achiroides-melanorhynchus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23547,23547,Valid,Achiroides melanorhynchus
fila.27,Achirus-achirus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23469,23469,Valid,Achirus achirus
fila.28,Achirus-mazatlanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23219,23219,Valid,Achirus mazatlanus
fila.29,Acipenser-baerii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27381,27381,Valid,Huso baerii
fila.30,Acipenser-brevirostrum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9745,9745,Valid,Huso brevirostrum
fila.31,Acipenser-dabryanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9746,9746,Valid,Sinosturio dabryanus
fila.32,Acipenser-fulvescens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9747,9747,Valid,Huso fulvescens
fila.33,Acipenser-gueldenstaedtii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9748,9748,Valid,Huso gueldenstaedtii
fila.34,Acipenser-medirostris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9751,9751,Valid,Sinosturio medirostris
fila.35,Acipenser-mikadoi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9752,9752,Valid,Sinosturio mikadoi
fila.36,Acipenser-naccarii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9754,9754,Valid,Huso naccarii
fila.37,Acipenser-nudiventris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27390,27390,Valid,Huso nudiventris
fila.38,Acipenser-oxyrinchus,---,---,---,Acipenser-oxyrinchus
fila.39,Acipenser-persicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9750,9750,Valid,Huso persicus
fila.40,Acipenser-ruthenus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9760,9760,Valid,Huso ruthenus
fila.41,Acipenser-schrenckii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27445,27445,Valid,Sinosturio schrenckii
fila.42,Acipenser-sinensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9762,9762,Valid,Sinosturio sinensis
fila.43,Acipenser-stellatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9791,9791,Valid,Huso stellatus
fila.44,Acipenser-sturio,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9774,9774,Valid,Acipenser sturio
fila.45,Acipenser-transmontanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9767,9767,Valid,Sinosturio transmontanus
fila.46,Acnodon-oligacanthus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4264,4264,Valid,Acnodon oligacanthus
fila.47,Acrocheilus-alutaceus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3151,3151,Valid,Gila alutacea
fila.48,Acrossocheilus-paradoxus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28786,28786,Valid,Acrossocheilus paradoxus
fila.49,Adontosternarchus-clarkae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7837,7837,Valid,Adontosternarchus clarkae
fila.50,Aetobatus-flagellum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7362,7362,Valid,Aetobatus flagellum
fila.51,Aetobatus-narinari,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7294,7294,Valid,Aetobatus narinari
fila.52,Aetobatus-ocellatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27169,27169,Valid,Aetobatus ocellatus
fila.53,Aetomylaeus-nichofii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27191,27191,Valid,Aetomylaeus nichofii
fila.54,Agamyxis-pectinifrons,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6039,6039,Valid,Agamyxis pectinifrons
fila.55,Ageneiosus-inermis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=48126,48126,Valid,Ageneiosus inermis
