,"
Guide document: here","Migration
",,,,,,,,,,,,,,,,⬇ Migration_Information ⬇,,,,,,,,⬇ Fill_For_NonAmphidromous_NonLateralPotamodromous ⬇                                                                                ,,,,,,,,,,"Database Binomial Names
",,,,,,,,,,,,
Catalogue of Fishes name,Species_Aggregated_Name,"Fishbase
(https://www.fishbase.se/search.php)","IUCN 
(https://www.iucnredlist.org/","GROMS 
(http://www.groms.de/)","NAFMFD
(https://www.sciencebase.gov/catalog/item/619d2dbcd34eb622f6951e8a)","AmazonMovements
(10.1111/faf.12795)","MekongDeltaDatabase
(10.1002/ecs2.2366)","MekongCommission
(https://archive.iwlearn.net/mrcmekong.org/programmes/fisheries/fish_migration.htm)","ColombiaFish
(978-958-8353-61-6)","YangtzeAquatic
(10.1016/j.aaf.2023.06.004)","EuropeanWetlandsInternational,  
Trans-European Swimways Programme
(https://europe.wetlands.org/home/our-work/wetland-biodiversity/swimways/)","SouthAfrica_Migration
(Fish Responses Assessment Index (Kleynhans 2007))",NewZealandDatabase,Mekong Database (Paper 2024),Potamodromous_Specific,Reasoning_for_Pot._Class.,SOURCE_Pot._Class.,Overall_Migration_Class,Realm,Critical_Waterway?,IUCN_Threat_Category,IUCN_Population_Trend,IUCN_Year_Last_UPDATED,Migration_Length:,Confidence_Migration_Length,Obligatory migrant?,Homogenous migrant?,SOURCE_Migration_Length_1:,SOURCE_Type_1:,SOURCE_Migration_Length_2:,SOURCE_Type_2:,SOURCE_Migration_Length_3:,SOURCE_Type_3:,SOURCE_Migration_Length_4:,SOURCE_Type_4:,FishBase_Name,IUCN_Name,GROMS_Name,NAFMFD_Name,AmazonianFishes_Name,MekongDeltaDatabase_Name,MekongRiverCommission_Name,ColombiaMigratoryFish_Name,Yangtze_Name,EuropeanWetlandsInternational_Scientific_Name (https://europe.wetlands.org/home/our-work/wetland-biodiversity/swimways/),SouthAfrica_Name,NewZealandDatabase,IUCN_Specific
Aaptosyax grypus,Aaptosyax grypus,potamodromous,Full Migrant,,,,,Longitudinal_migrant,,,,,,"Short distance, potamodromous",Breeding,"juveniles occur in tributaries (FB), breeds in rapids (IUCN)",FishBase,"potamodromous, longitudinal",Indomalayan,one large river,Critically Endangered,Decreasing,2011,500-3000(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,Aaptosyax grypus,Aaptosyax grypus,,,,,Aaptosyax grypus,,,,,,
Abramis brama,Abramis brama,potamodromous,Full Migrant,,,,,,,,"Semi-anadromous, Potamodromous ",,,,Breeding,IUCN - says exactly 100 km?,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Unknown,2024,0-100(km),3,,Partial pop mig.,https://doi.org/10.1111/eff.12736,Paper,https://doi.org/10.1111/fwb.13726,Paper,,,,,Abramis brama,Abramis brama,,,,,,,,Abramis brama,,,
Acanthodoras cataphractus,Acanthodoras cataphractus,,Full Migrant,,,little information,,,,,,,,,Little information,,,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,https://doi.org/10.1590/1676-0611-BN-2021-1244,Paper,,,,,,,,Acanthodoras cataphractus,,,Acanthodoras cataphractus,,,,,,,,potamodromous
Acanthogobius flavimanus,Acanthogobius flavimanus,amphidromous,Unkown,,Amphidromous,,,,,,,,,,,,,amphidromous,Indomalayan|Palearctic,coastal,Least Concern,Unknown,2022,0-100(km),3,,,https://www.researchgate.net/publication/279037493_Upstream_migratory_history_in_juvenile_stage_of_yellowfin_goby_Acanthogobius_flavimanus_in_Tokyo_Bay_as_revealed_by_otolith_SrCa_ratios,Paper,,,,,,,Acanthogobius flavimanus,,,Acanthogobius flavimanus,,,,,,,,,
Acanthogobius hasta,Acanthogobius hasta,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2021,0-100(km),3,,,https://doi.org/10.2112/JCOASTRES-D-12-00204.1,Paper,,,,,,,Acanthogobius hasta,,,,,,,,,,,,
Acanthogobius lactipes,Acanthogobius lactipes,amphidromous,,,,,,,,,,,,,,,,amphidromous,Palearctic,coastal,Least Concern,Unknown,2022,0-100(km),2,,,https://doi.org/10.1007/s10228-005-0267-5,Paper,,,,,,,Acanthogobius lactipes,,,,,,,,,,,,
Acanthogobius luridus,Acanthogobius luridus,amphidromous,,,,,,,,,,,,,,,,amphidromous,Palearctic,coastal,Least Concern,Stable,2023,0-100(km),3,,,https://doi.org/10.1007/s00343-014-3002-0,Paper,https://doi.org/10.1007/s12601-017-0015-6,Paper,,,,,Acanthogobius luridus,,,,,,,,,,,,
Acanthopagrus berda,Acanthopagrus berda,,,,,,,,,,,#N/A,,,,,,amphidromous,Afrotropical,coastal,Least Concern,Unknown,2017,0-100(km),3,,,,,,,,,,,,,,,,,,,,,Acanthopagrus berda,,
Acantopsis dialuzona,Acantopsis dialuzona,,Full Migrant,,,,,,,,,,,,Little information,,,little information,Indomalayan,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,,Acantopsis choirorhynchos,,,,,,,,,,,lateral migrant
Acarichthys heckelii,Acarichthys heckelii,potamodromous,,,,,,,,,,,,,Little information,"breeding coincides with monsoon season; possible exploitation of inundated habitats. Family is amphidromous, lending credibility to the idea of short-term movements that are not mating-related (https://link.springer.com/article/10.1007/s10641-013-0201-z). """"""""muse migration"""""""" in Harvard resource","FishBase, MCZBASE",non-migratory,Neotropical,more than one central river,Least Concern,Stable,2023,non-migratory,2,,,https://doi.org/10.1111/j.0906-7590.2005.04176.x,Paper,,,,,,,Acarichthys heckelii,,,,,,,,,,,,
Acentrogobius caninus,Acentrogobius caninus,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan|Oceanian,coastal,Least Concern,Unknown,2016,0-100(km),3,,,https://researchoutput.csu.edu.au/ws/portalfiles/portal/227418935/Diversity_in_migration_patterns_of_selected_Mekong_River_fishes_Full_PhD_Thesis.pdf,Other,,,,,,,Acentrogobius caninus,Acentrogobius caninus,,,,,,,,,,,
Aulopareia cyanomos,Acentrogobius cyanomos,amphidromous,,,,,,,,,,,,,,,,little information,,coastal,Least Concern,Unknown,2019,little information,0,,,,,,,,,,,Acentrogobius cyanomos,,,,,,,,,,,,
Acentrogobius griseus,Acentrogobius griseus,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Vulnerable,Unknown,2020,0-100(km),3,,,,,,,,,,,Acentrogobius griseus,,,,,,,,,,,,
Acentrogobius janthinopterus,Acentrogobius janthinopterus,amphidromous,,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan|Oceanian,coastal,Least Concern,Stable,2021,0-100(km),3,,,,,,,,,,,Acentrogobius janthinopterus,,,,,,,,,,,,
Acentrogobius madraspatensis,Acentrogobius madraspatensis,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2024,0-100(km),3,,,,,,,,,,,Acentrogobius madraspatensis,,,,,,,,,,,,
Aulopareia unicolor,Acentrogobius masoni,amphidromous,,,,,,,,,,,,,,,,little information,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,,,,,,,,,Acentrogobius masoni,,,,,,,,,,,,
Yongeichthys nebulosus,Acentrogobius nebulosus,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,NA,coastal,Least Concern,Unknown,2016,0-100(km),3,,,,,,,,,,,Acentrogobius nebulosus,Yongeichthys nebulosus,,,,,,,,,,,amphidromous
Acentrogobius simplex,Acentrogobius simplex,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2019,0-100(km),2,,,,,,,,,,,Acentrogobius simplex,,,,,,,,,,,,
Acentrogobius viridipunctatus,Acentrogobius viridipunctatus,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2019,0-100(km),3,,,https://researchoutput.csu.edu.au/ws/portalfiles/portal/227418935/Diversity_in_migration_patterns_of_selected_Mekong_River_fishes_Full_PhD_Thesis.pdf,Other,,,,,,,Acentrogobius viridipunctatus,,,,,,,,,,,,
Acestrorhynchus abbreviatus,Acestrorhynchus abbreviatus,,,,,lateral migration,,,,,,,,,Little information,,AmazonMovements,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Unknown,2022,0-100(km),2,,Partial pop mig.,https://doi.org/10.1038/s41598-019-52243-0,Paper,,,,,,,,,,,Acestrorhynchus abbreviatus,,,,,,,,
Acestrorhynchus falcatus,Acestrorhynchus falcatus,,,,,lateral migration,,,,,,,,,Feeding,,AmazonMovements,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Stable,2022,0-100(km),3,,Partial pop mig.,https://doi.org/10.1111/j.1600-0633.2011.00511.x,Paper,http://www.jstor.org/stable/3683391,Paper,,,,,,,,,Acestrorhynchus falcatus,,,,,,,,
Acestrorhynchus falcirostris,Acestrorhynchus falcirostris,,,,,lateral migration,,,,,,,,,Feeding,,AmazonMovements,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Stable,2022,0-100(km),3,,Partial pop mig.,http://www.jstor.org/stable/3683391,Paper,https://dialnet.unirioja.es/servlet/articulo?codigo=4732747,Paper,http://dx.doi.org/10.2139/ssrn.4111398,Paper,,,,,,,Acestrorhynchus falcirostris,,,,,,,,
Acestrorhynchus heterolepis,Acestrorhynchus heterolepis,,,,,lateral migration,,,,,,,,,,,AmazonMovements,non-migratory,Neotropical,more than one central river,Least Concern,Stable,2022,non-migratory,2,,,https://doi.org/10.1111/j.0906-7590.2005.04176.x,Paper,,,,,,,,,,,Acestrorhynchus heterolepis,,,,,,,,
Acestrorhynchus microlepis,Acestrorhynchus microlepis,,,,,little information,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2022,little information,0,,,https://doi.org/10.1111/faf.12795,Database,,,,,,,,,,,Acestrorhynchus microlepis,,,,,,,,
Acheilognathus asmussii,Acheilognathus asmussii,,Nomadic,,,,,,,,,,,,,,,non-migratory,Palearctic,more than one central river,Least Concern,Stable,2022,non-migratory,3,,,,,,,,,,,,Acheilognathus asmussii,,,,,,,,,,,non-migratory
Achiroides leucorhynchos,Achiroides leucorhynchos,,,,,,White,,,,,,,,,,MekongDeltaDatabase,little information,Indomalayan,more than one central river,Least Concern,Unknown,2020,little information,0,,,https://doi.org/10.1002/ecs2.2366,Database,https://doi.org/10.1071/PC22035,Paper,,,,,,,,,,Achiroides leucorhynchos,,,,,,,
Achiroides melanorhynchus,Achiroides melanorhynchus,,,,,,White,,,,,,,,,,MekongDeltaDatabase,little information,NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,https://doi.org/10.1002/ecs2.2366,Database,https://www.researchgate.net/publication/241768763_Fish_and_fisheries_in_the_Sesan_River_Basin_catchment_baseline_fisheries_section,Paper,,,,,,,,,,Achiroides melanorhynchus,,,,,,,
Achirus achirus,Achirus achirus,amphidromous,,,,,,,,,,,,,,,,amphidromous,Neotropical,coastal,Least Concern,Unknown,2015,0-100(km),3,,,,,,,,,,,Achirus achirus,,,,,,,,,,,,
Achirus mazatlanus,Achirus mazatlanus,amphidromous,Altitudinal Migrant,,,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Unknown,2019,0-100(km),3,,,,,,,,,,,Achirus mazatlanus,Achirus mazatlanus,,,,,,,,,,,
Huso baerii,Acipenser baerii,potamodromous,Full Migrant,anadromous,,,,,,,,,,,Breeding,https://link.springer.com/article/10.1023/B:EBFI.0000022853.06583.ea,GROMS,"potamodromous, longitudinal",Palearctic,more than one central river,Critically Endangered,Decreasing,2022,500-3000(km),3,,Partial pop mig.,https://doi.org/10.1023/B:EBFI.0000022853.06583.ea,Paper,https://www.fao.org/fishery/docs/CDrom/aquaculture/I1129m/file/en/.!52501!en_acipenser.htm,Report,https://cites.org/sites/default/files/eng/com/ac/16/16-7-2a1.pdf,Report,https://doi.org/10.1023/A:1007372932444,Paper,Acipenser baerii,Acipenser baerii,Acipenser baerii baerii,,,,,,,,,,
Huso brevirostrum,Acipenser brevirostrum,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Vulnerable,Stable,2022,100-500(km),3,,Partial pop mig.,https://doi.org/10.1139/cjfas-2012-0196,Paper,https://doi.org/10.2307/1446395,Paper,https://doi.org/10.1007/0-306-46854-9_21,Book,https://doi.org/10.1023/A:1014270129729,Paper,Acipenser brevirostrum,Acipenser brevirostrum,,Acipenser brevirostrum,,,,,,,,,
Sinosturio dabryanus,Acipenser dabryanus,anadromous,Not a Migrant,,,,,,,,,,,,,,,"potamodromous, longitudinal",Palearctic,one large river,Extinct in the Wild,Unspecified,2022,500-3000(km),2,Obligatory,Whole pop mig.,https://doi.org/10.1023/A:1007399729080,Paper,https://doi.org/10.1111/jai.14117,Paper,https://doi.org/10.1126/sciadv.adi6580,Paper,,,Acipenser dabryanus,,,,,,,,,,,,
Huso fulvescens,Acipenser fulvescens,potamodromous,Full Migrant,,Potamodromous,,,,,,,,,,Breeding,fishbase,FishBase,"potamodromous, longitudinal",Nearctic,more than one central river,Endangered,Unknown,2022,100-500(km),3,,Partial pop mig.,https://doi.org/10.1139/f95-276,Paper,,,,,,,Acipenser fulvescens,Acipenser fulvescens,,Acipenser fulvescens,,,,,,,,,
Huso gueldenstaedtii,Acipenser gueldenstaedtii,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2022,500-3000(km),3,,,https://doi.org/10.1023/A:1011023720658,Paper,,,,,,,Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,,,,,,,,Acipenser gueldenstaedtii,,,
Sinosturio medirostris,Acipenser medirostris,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Endangered,Unknown,2022,100-500(km),2,,,https://doi.org/10.1007/s10641-008-9432-9,Paper,https://doi.org/10.1007/s10641-006-9023-6,Paper,https://doi.org/10.1002/ecs2.4139,Paper,,,Acipenser medirostris,Acipenser medirostris,,Acipenser medirostris,,,,,,,,,
Sinosturio mikadoi,Acipenser mikadoi,anadromous,,,,,,,,,,,,,,,,anadromous,Palearctic,one large river,Critically Endangered,Decreasing,2022,0-100(km),3,,,,Paper,,,,,,,Acipenser mikadoi,,,,,,,,,,,,
Huso naccarii,Acipenser naccarii,anadromous,Nomadic,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Increasing,2022,100-500(km),2,,,https://www.sturgeon-web.co.uk/adriatic-sturgeon-acipenser-naccarii,Other,,,,,,,Acipenser naccarii,Acipenser naccarii,,,,,,,,Acipenser naccarii,,,
